Author,Title,Class Number,Class Name,Quarter,Year,Descriptors,Location,
"Loe, Philip",Oxygen-dissociation curves of Octopus dofleini and Chionoecetes tanneri,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,"Octopus dofleini; Chionoecetes tanneri
",,
"Kirchenberg, Ralph; Loe, Philip",Some observations on the properties of myoneural junctions in Chionoecetes tanneri,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,"Chionoecetes tanneri
",,
"Loe, Philip",Some observations on the role of free amino acids in osmotic regulation in Hemigrapsus nudus and Abarenicola vagabunda,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,Hemigrapsus nudus; Abarenicola vagabunda; Carcinus maenas,,
"Loe, Philip",The effect of eyestalk ablation on sodium efflux in Hemigrapsus nudus,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,"Hemigrapsus nudus; Pandalus danae
",,
"Park, Tai Soo",Studies on the red chromatophores of Pandalus danae,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,"Palaemonetes; Pandalus danae
",,
"Park, Tai Soo; Loe, Philip",Some observations on digestion in Octopus dofleini,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,Octopus dofleini; Octopus vulgaris; Hemigrapsus nudus,,
"Park, Tai Soo; Schneider, Richard",Sodium regulation in Hemigrapsus nudus,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,Hemigrapsus nudus; Carcinus; Uca pugnax,,
"Schneider, Richard; Park, Tai Soo",Sodium regulation in Hemigrapsus nudus II,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,"Hemigrapsus nudus; Carcinus
",,
"Schneider, Richard; Park, Tai Soo",Effects of some drugs and electrical stimulation on the heart of crabs,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,"Cancer productus; Cancer magister
",,
"Sorenson, A.L.; Schneider, Richard",Observations on junction potentials in the crab leg,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,"Cancer magister
",,
"Sorenson, A. L.; Kirchenberg, Ralph",Pore size in the body wall of Phascolosoma,Zoology 538,Comparative Invertebrate Physiology,Spring,1963,"Phascolosoma
; Golfingia",,
"Angell, Robert D.",Observations of development and colony formation of the bryozoan Schizoporella,Zoology 533,Advanced Invertebrate Zoology,Summer,1963,"Schizoporella
","Argyle Lagoon, San Juan Island",
"Aronson, John",Comments on the opercular mechanism of Balanus glandula,Zoology 533,Advanced Invertebrate Zoology,Summer,1963,"Balanus glandula; Balanus nubilis
",,
"Dolph, C. Ivar",Some notes on the ecology of Zostera marina,Zoology 533,Advanced Invertebrate Zoology,Summer,1963,"Zostera marina
",,
"Gist, Daniel H.",Some effects of sinus gland hormone on Pacific shrimp,Zoology 533,Advanced Invertebrate Zoology,Summer,1963,Pandalus; Crangon alaskensis,,
"Grubitz, Gene III",Agonistic behavior of a hermit crab (Pagurus hirsutiusculus),Zoology 533,Advanced Invertebrate Zoology,Summer,1963,Pagurus hirsutiusculus; Pagurus samuelis; Pagurus granosimanus,,
"Jones, Margaret",Responses of Parastichopus californicus (Stimpson),Zoology 533,Advanced Invertebrate Zoology,Summer,1963,Parastichopus californicus; Luidia; Pycnopodia,,
"Jamison, D.","Homing behavior in the local Acmaea, and some suggestions as to its usefulness to the animal",Zoology 533,Advanced Invertebrate Zoology,Summer,1963,Acmaea digitalis; Acmaea persona; Acmaea scutum,,
